Kommun,Andel män,Andel sysselsatta,andeltätort,Medelinkomst,Andel utländsktfödda,Medelålder,Mestrostadeparti
Falköping,0.503699025622519,0.812372881355932,0.75,290.2,0.152592325273668,44.4,Arbetarepartiet-Socialdemokraterna
Falun,0.495787221237755,0.844388793238378,0.87,324.8,0.107325554181016,43.9,Sverigedemokraterna
Färgelanda,0.52027027027027,0.793660111535075,0.56,278.8,0.115479115479115,49.2,Arbetarepartiet-Socialdemokraterna
Filipstad,0.507901114881241,0.735136171845033,0.75,262.8,0.180029083858459,42.1,Arbetarepartiet-Socialdemokraterna
Finspång,0.515089257179382,0.811271975180972,0.8,304.1,0.165822033511391,43.2,Arbetarepartiet-Socialdemokraterna
Flen,0.512330302652883,0.731123156435144,0.76,271.6,0.225183709054677,42.7,Arbetarepartiet-Socialdemokraterna
Forshaga,0.507341509759889,0.821280820784379,0.82,296.1,0.089825531179824,43.1,Arbetarepartiet-Socialdemokraterna
Gagnef,0.508143632726926,0.856056284464727,0.76,304.7,0.072387846461568,38.9,Arbetarepartiet-Socialdemokraterna
Gällivare,0.52089552238806,0.872237423700274,0.82,362.3,0.105683122847302,42.5,Arbetarepartiet-Socialdemokraterna
Gävle,0.499589344206855,0.79765909246928,0.94,316.2,0.164001430048409,41.0,Arbetarepartiet-Socialdemokraterna
Gislaved,0.51531494861097,0.839155613674575,0.82,304.8,0.252094569383671,40.5,Arbetarepartiet-Socialdemokraterna
Gnesta,0.50439200826731,0.814513450680837,0.68,315.2,0.135204960385808,41.8,Arbetarepartiet-Socialdemokraterna
Gnosjö,0.520555202373384,0.857281553398058,0.75,310.5,0.260860351769443,42.8,Arbetarepartiet-Socialdemokraterna
Göteborg,0.503561249981151,0.778007362930911,0.99,336.2,0.291429375662865,42.6,Arbetarepartiet-Socialdemokraterna
Götene,0.511487758945386,0.848993288590604,0.64,305.0,0.11789077212806,43.6,Arbetarepartiet-Socialdemokraterna
Gotland,0.497899400062119,0.814517130089374,0.64,290.1,0.08611642391251,44.0,Sverigedemokraterna
Grästorp,0.504959263195183,0.844919786096257,0.54,303.4,0.076160113354587,43.8,Arbetarepartiet-Socialdemokraterna
Grums,0.507742998352554,0.784301346801347,0.72,293.9,0.119165293794618,43.9,Arbetarepartiet-Socialdemokraterna
Gullspång,0.509626492106276,0.760079840319361,0.67,271.6,0.171351559491721,43.3,Sverigedemokraterna
Habo,0.504265691651432,0.888185654008439,0.78,333.6,0.084247410115783,46.4,Arbetarepartiet-Socialdemokraterna
Håbo,0.507269931913024,0.844624681933842,0.91,352.0,0.164419064353174,42.2,Arbetarepartiet-Socialdemokraterna
Hagfors,0.518336353438606,0.776490344248531,0.64,277.1,0.164725170420226,41.1,Arbetarepartiet-Socialdemokraterna
Hällefors,0.518930288461538,0.735259433962264,0.76,264.9,0.198768028846154,44.3,Arbetarepartiet-Socialdemokraterna
Hallsberg,0.516329036218539,0.815953757225434,0.79,293.7,0.167403314917127,40.0,Arbetarepartiet-Socialdemokraterna
Hallstahammar,0.503740051463108,0.812365286443562,0.88,295.8,0.197175513135061,44.2,Sverigedemokraterna
Halmstad,0.501645299958154,0.805437018650436,0.93,310.4,0.202077072317115,46.1,Sverigedemokraterna
Hammarö,0.499167657550535,0.874712907671107,0.95,362.8,0.075089179548157,47.0,Arbetarepartiet-Socialdemokraterna
Haninge,0.510139942466959,0.805054718726546,0.96,324.8,0.2937870458524,45.5,Arbetarepartiet-Socialdemokraterna
Haparanda,0.51948608137045,0.762208534975803,0.8,279.0,0.406852248394004,45.6,Arbetarepartiet-Socialdemokraterna
Härjedalen,0.524987727049583,0.834494445490491,0.66,290.1,0.112027491408935,45.4,Arbetarepartiet-Socialdemokraterna
Härnösand,0.499939708187628,0.788807671146742,0.79,291.3,0.14912174926645,46.3,Sverigedemokraterna
Härryda,0.50520597555455,0.862751400495913,0.91,388.6,0.131255973039586,41.2,Moderaterna
Hässleholm,0.504439649410911,0.785876186428673,0.81,289.3,0.17336592258779,44.4,Arbetarepartiet-Socialdemokraterna
Heby,0.511198945981555,0.801184210526316,0.62,286.1,0.132861798765689,44.2,Sverigedemokraterna
Hedemora,0.507479116751926,0.788621934520105,0.71,288.7,0.144984782749466,47.0,Sverigedemokraterna
Helsingborg,0.498155323729094,0.764799741004532,0.97,322.4,0.280649114091737,44.7,Arbetarepartiet-Socialdemokraterna
Herrljunga,0.512661553010402,0.825664418881396,0.56,297.3,0.123883576757382,51.8,Arbetarepartiet-Socialdemokraterna
Hjo,0.502001514659743,0.833545918367347,0.71,300.7,0.087850265065455,45.4,Arbetarepartiet-Socialdemokraterna
Hofors,0.511507601351351,0.800997008973081,0.78,297.5,0.145375844594595,45.9,Arbetarepartiet-Socialdemokraterna
Höganäs,0.496850870013877,0.821405405405405,0.92,347.2,0.141693057680675,42.7,Arbetarepartiet-Socialdemokraterna
Högsby,0.512714899713467,0.738478027867095,0.65,261.7,0.245522922636103,44.1,Arbetarepartiet-Socialdemokraterna
Höör,0.503035208417645,0.829801179812104,0.79,318.7,0.121639590680465,44.7,Arbetarepartiet-Socialdemokraterna
Hörby,0.507889044407685,0.812902470436717,0.61,300.0,0.124125206769309,45.8,Arbetarepartiet-Socialdemokraterna
Huddinge,0.507196255152658,0.790839177323354,0.99,348.2,0.312888632711521,40.5,Arbetarepartiet-Socialdemokraterna
Hudiksvall,0.5018573551263,0.825062733650842,0.72,304.8,0.100695181490129,39.8,Arbetarepartiet-Socialdemokraterna
