Kommun,Andel män,Andel sysselsatta,andeltätort,Medelinkomst,Andel utländsktfödda,Medelålder,Mestrostadeparti
Strömstad,0.508728367193378,0.80540465245856,0.67,326.0,0.278103837471783,45.0,Arbetarepartiet-Socialdemokraterna
Strömsund,0.518820742300605,0.811828903362084,0.59,273.4,0.120294814424849,45.3,Arbetarepartiet-Socialdemokraterna
Sundbyberg,0.502996116145737,0.813781417678622,1,379.9,0.329036434251896,44.7,Moderaterna
Sundsvall,0.502370145228007,0.824060726602558,0.88,325.8,0.11810468896247,44.0,Arbetarepartiet-Socialdemokraterna
Sunne,0.505142346102251,0.819177312929945,0.49,296.8,0.105008197943062,47.4,Arbetarepartiet-Socialdemokraterna
Surahammar,0.517791288747134,0.815834767641996,0.89,297.5,0.193262234625735,45.6,Arbetarepartiet-Socialdemokraterna
Svalöv,0.520254389603208,0.809494375077265,0.71,300.5,0.182566016867137,45.8,Arbetarepartiet-Socialdemokraterna
Svedala,0.499484713156991,0.868795752554099,0.87,350.7,0.123411198900721,45.4,Arbetarepartiet-Socialdemokraterna
Svenljunga,0.516272189349112,0.81141130465695,0.63,289.9,0.157359467455621,46.1,Arbetarepartiet-Socialdemokraterna
Täby,0.498516044026245,0.836217854698348,1,470.0,0.19584226146905,42.1,Arbetarepartiet-Socialdemokraterna
Tanum,0.513255974794436,0.82409972299169,0.46,308.1,0.123722431414739,44.0,Sverigedemokraterna
Tibro,0.507588384946048,0.80349932705249,0.84,284.4,0.16185630318449,46.1,Arbetarepartiet-Socialdemokraterna
Tidaholm,0.506893060207181,0.830478700043917,0.71,291.3,0.112002492405951,45.0,Arbetarepartiet-Socialdemokraterna
Tierp,0.508175277959451,0.799382716049383,0.67,284.9,0.132532934691208,45.1,Arbetarepartiet-Socialdemokraterna
Timrå,0.506590064210882,0.821849782743638,0.84,304.8,0.102906387293004,46.9,Moderaterna
Tingsryd,0.513458567130194,0.78976,0.63,279.3,0.175083353663495,44.1,Arbetarepartiet-Socialdemokraterna
Tjörn,0.50752688172043,0.854238541153277,0.72,358.8,0.093886328725038,44.9,Sverigedemokraterna
Tomelilla,0.503258036490009,0.796319707824133,0.71,280.4,0.132638285548798,43.0,Arbetarepartiet-Socialdemokraterna
Töreboda,0.516220335292837,0.775625,0.61,275.1,0.141193119965164,47.4,Moderaterna
Torsås,0.520874751491054,0.79038189533239,0.59,278.0,0.11672820221528,46.8,Moderaterna
Torsby,0.510297081763211,0.814406779661017,0.47,294.3,0.139251599333976,44.1,Sverigedemokraterna
Tranås,0.50489257604765,0.806316861946001,0.86,288.5,0.163369495851946,47.0,Arbetarepartiet-Socialdemokraterna
Tranemo,0.516750418760469,0.852438049560352,0.73,305.9,0.173701842546064,47.5,Arbetarepartiet-Socialdemokraterna
Trelleborg,0.501940020150486,0.807868646890552,0.85,312.2,0.183648095350383,41.9,Arbetarepartiet-Socialdemokraterna
Trollhättan,0.504302054863853,0.782953360154969,0.92,305.1,0.22655801869285,47.1,Arbetarepartiet-Socialdemokraterna
Trosa,0.501626016260163,0.841198895753911,0.89,354.2,0.148577235772358,40.4,Arbetarepartiet-Socialdemokraterna
Tyresö,0.499410736782216,0.833884178761316,1,380.1,0.179745600845288,46.2,Arbetarepartiet-Socialdemokraterna
Uddevalla,0.500663384658357,0.804494598765432,0.82,312.1,0.177437938619462,47.5,Arbetarepartiet-Socialdemokraterna
Ulricehamn,0.510395093197387,0.848468848996832,0.69,309.1,0.137047952843715,42.3,Arbetarepartiet-Socialdemokraterna
Umeå,0.500949067947215,0.801549411097814,0.9,315.8,0.131999848754112,45.9,Arbetarepartiet-Socialdemokraterna
Upplands Väsby,0.50456741504608,0.799767499207384,0.99,338.8,0.342414031099022,45.9,Arbetarepartiet-Socialdemokraterna
Upplands-Bro,0.513703575801337,0.803484090784195,0.93,331.0,0.323894138699651,45.1,Arbetarepartiet-Socialdemokraterna
Uppsala,0.49380523663996,0.772609569984298,0.89,327.4,0.230131328983233,45.2,Arbetarepartiet-Socialdemokraterna
Uppvidinge,0.521660649819495,0.803232323232323,0.74,282.4,0.229772775536207,46.4,Arbetarepartiet-Socialdemokraterna
Vadstena,0.498462772356637,0.818604651162791,0.77,309.7,0.08742146771822,45.7,Arbetarepartiet-Socialdemokraterna
Vaggeryd,0.513868318298102,0.862439146174011,0.76,311.5,0.179749562407432,47.3,Arbetarepartiet-Socialdemokraterna
Valdemarsvik,0.51651376146789,0.803799185888738,0.62,276.8,0.104718217562254,47.4,Arbetarepartiet-Socialdemokraterna
Vallentuna,0.505609595133569,0.846169613118114,0.84,385.6,0.164155978307653,48.7,Arbetarepartiet-Socialdemokraterna
Vänersborg,0.502957097032879,0.798802056312786,0.81,302.8,0.158129510825982,41.7,Sverigedemokraterna
Vännäs,0.507084681468258,0.850375626043406,0.7,304.1,0.088809550373759,45.8,Arbetarepartiet-Socialdemokraterna
Vansbro,0.510588235294118,0.839920948616601,0.71,280.4,0.099117647058824,47.6,Sverigedemokraterna
Vara,0.515189011940853,0.809131040892193,0.59,289.6,0.12058404999072,39.4,Arbetarepartiet-Socialdemokraterna
Varberg,0.502286135693215,0.857247479015267,0.81,330.8,0.116578171091445,43.4,Arbetarepartiet-Socialdemokraterna
Vårgårda,0.511493315943919,0.848406676783005,0.55,307.5,0.140039126181937,43.6,Sverigedemokraterna
Värmdö,0.50500462793551,0.843329347784163,0.92,387.0,0.141162795703554,46.2,Arbetarepartiet-Socialdemokraterna
Värnamo,0.507955724662746,0.857527449324324,0.8,322.4,0.207165917214343,48.3,Arbetarepartiet-Socialdemokraterna
Västerås,0.502013828922239,0.797770824750304,0.94,326.6,0.242743597662824,47.7,Sverigedemokraterna
Västervik,0.500245566166439,0.821898367993014,0.81,293.4,0.119427012278308,50.7,Arbetarepartiet-Socialdemokraterna
Vaxholm,0.492982603580133,0.835700451904454,0.96,436.0,0.109841163122952,47.2,Sverigedemokraterna
Växjö,0.506676137825957,0.803149606299213,0.87,312.2,0.201797461317521,51.3,Arbetarepartiet-Socialdemokraterna
Vellinge,0.493905502234208,0.848157427706441,0.93,440.2,0.094920811189551,49.1,Sverigedemokraterna
Vetlanda,0.513280092508944,0.836372494432071,0.76,298.9,0.168322914031728,45.1,Arbetarepartiet-Socialdemokraterna
Vilhelmina,0.514468950414516,0.820156910078455,0.51,272.0,0.081495385577976,45.3,Arbetarepartiet-Socialdemokraterna
Vimmerby,0.51237385099955,0.842073021318304,0.73,294.5,0.12926656810439,42.4,Moderaterna
Vindeln,0.517441860465116,0.837209302325581,0.56,284.9,0.111191860465116,44.0,Arbetarepartiet-Socialdemokraterna
Vingåker,0.517091637902238,0.782799473453269,0.71,275.3,0.140296180826189,44.7,Sverigedemokraterna
Ydre,0.511811023622047,0.836363636363636,0.44,291.1,0.103719793646484,47.4,Arbetarepartiet-Socialdemokraterna
Ystad,0.490035946269786,0.835468102221397,0.84,324.2,0.111969477202497,42.8,Arbetarepartiet-Socialdemokraterna
